id,price,area,bed,bath,ac,garage,pool,year,quality,style,lot,highway
441,149900,1550,3,1,yes,2,no,1956,low,1,14311,no
442,170000,1544,2,2,no,1,no,1957,low,1,14942,no
443,142000,1566,3,1,no,1,no,1959,low,1,15228,no
444,186900,1650,3,2,yes,2,no,1961,low,1,22000,no
445,152900,1392,2,2,no,2,no,1951,low,1,29199,no
446,350000,2981,5,4,yes,2,no,1950,low,6,49756,no
447,130000,1412,2,1,no,1,no,1940,low,1,16752,no
448,167900,2180,4,2,no,2,no,1948,low,3,15001,no
449,184900,1704,2,2,yes,2,no,1954,low,1,16759,no
450,178000,1600,3,2,yes,2,no,1957,low,3,15090,no
451,111000,1276,3,2,no,1,no,1951,low,1,11554,no
452,207000,1666,4,2,no,1,no,1954,low,1,39523,no
453,190000,1760,3,2,yes,2,no,1974,low,2,20193,no
454,230000,1836,3,2,no,2,no,1946,low,1,46339,no
455,165000,1636,3,1,no,2,no,1953,low,1,20125,no
456,210000,1748,3,2,yes,2,no,1957,low,1,14512,no
457,226000,2556,4,2,no,2,no,1923,low,6,36276,no
458,149900,1511,4,1,yes,1,no,1954,low,1,14821,no
459,155000,1524,3,2,yes,2,no,1958,low,1,21875,no
460,219900,1821,4,2,yes,2,no,1956,low,1,16696,no
461,132000,1596,1,1,no,0,no,1940,low,1,28357,no
462,195000,2392,4,2,no,2,no,1960,low,1,30265,no
463,155900,1748,2,1,yes,2,no,1956,low,1,16231,no
464,119900,1384,2,1,no,0,no,1949,low,1,30002,no
465,175000,1628,3,1,yes,2,yes,1957,low,1,17069,no
466,304000,1911,4,2,yes,2,no,1953,low,1,86248,no
467,190000,1624,4,3,no,1,no,1959,low,3,15002,no
468,229100,1956,3,2,yes,2,yes,1984,low,6,14710,no
469,187500,2012,4,2,no,2,no,1953,low,5,14925,no
470,173000,1590,2,2,yes,2,no,1956,low,1,22336,no
471,170000,1687,2,1,yes,1,no,1941,low,4,20925,no
472,179000,1816,4,1,yes,2,no,1956,low,3,16508,no
473,162500,1622,3,1,yes,1,no,1956,low,3,16120,no
474,172000,1604,4,2,yes,2,no,1954,low,1,14964,no
475,153200,1592,4,2,no,1,no,1956,low,1,16396,no
476,220000,1922,3,2,yes,2,no,1952,low,1,33579,no
477,174000,1892,3,1,yes,1,no,1955,low,3,14712,no
478,200000,1628,3,1,yes,2,no,1959,low,1,15412,no
479,161000,1644,2,2,yes,2,no,1956,low,1,17030,no
480,135000,1450,3,1,yes,2,no,1955,low,1,15868,no
481,190000,1592,3,2,yes,2,no,1959,low,1,22748,no
482,153800,1654,2,1,no,2,no,1962,low,1,25874,no
483,144900,1388,2,1,yes,2,no,1950,low,1,10568,no
484,165000,1670,3,2,no,2,no,1953,low,1,18525,no
485,186000,1953,3,2,yes,1,no,1956,low,1,17129,no
486,167000,2008,3,1,yes,2,no,1963,low,1,21860,no
487,189600,1650,3,2,yes,2,no,1960,low,1,34724,no
488,170000,1578,3,1,yes,2,no,1975,low,1,22485,no
489,189500,1618,3,2,yes,2,no,1962,low,1,27539,no
490,153500,1642,3,1,no,2,no,1959,low,1,14901,no
491,159900,2008,1,2,yes,2,no,1941,low,1,31657,no
492,158000,1604,3,2,yes,1,no,1960,low,1,23534,no
493,175000,2035,4,2,yes,3,no,1962,low,7,20131,no
494,147000,1534,3,2,no,1,no,1955,low,3,15361,no
495,155000,1624,2,2,yes,2,no,1955,low,1,16721,no
496,150000,1700,4,2,yes,1,no,1954,low,1,15391,no
497,165000,1630,3,2,yes,2,no,1978,low,2,24963,no
498,147000,1526,3,2,yes,1,no,1957,low,1,15007,no
499,146250,1672,3,1,yes,2,no,1949,low,1,22617,no
500,177500,1588,4,2,yes,2,no,1980,low,2,21925,no
501,153650,1752,4,2,yes,2,no,1950,low,6,9126,no
502,199500,1674,4,2,no,2,no,1947,low,1,33237,no
503,186000,1980,3,1,no,1,no,1927,low,6,47679,no
504,139900,1396,1,1,no,2,no,1950,low,1,25879,no
505,160000,1178,1,1,no,2,no,1959,low,1,9941,no
506,125000,1263,2,2,no,0,no,1955,low,1,12357,no
507,359900,2377,5,2,yes,2,no,1937,low,6,51005,no
508,184500,1304,3,1,yes,2,no,1951,low,1,21305,no
509,155000,1340,3,1,no,0,no,1952,low,1,5666,no
510,150000,1559,2,1,no,2,no,1952,low,1,23999,no
511,146000,1412,1,2,yes,0,no,1920,low,1,4560,no
512,129000,1198,2,2,yes,2,no,1925,low,1,20918,no
513,145000,1424,2,1,yes,2,no,1947,low,1,16414,no
514,200000,1370,4,1,no,1,no,1925,low,4,8000,no
515,149900,1584,3,2,yes,2,no,1957,low,1,13514,no
516,132000,1567,2,1,yes,1,no,1934,low,4,12249,no
517,136900,1409,2,1,no,1,no,1951,low,1,28421,no
518,137000,1655,2,1,no,1,no,1935,low,1,54651,no
519,185000,1944,3,2,yes,2,no,1939,low,6,17999,no
520,133500,1922,3,1,no,2,no,1950,low,1,14805,no
521,124000,1480,3,2,yes,2,no,1953,low,1,28351,no
522,95500,1184,2,1,no,1,no,1951,low,1,14786,no
